year,region,metric,dim_name,dim_value,value
2012,JUNIN,siniestros_total,,,3173.0
2012,LA LIBERTAD,siniestros_total,,,4621.0
2012,LAMBAYEQUE,siniestros_total,,,2927.0
2012,LIMA,siniestros_total,,,52581.0
2012,CALLAO,siniestros_total,,,3554.0
2012,LORETO,siniestros_total,,,469.0
2012,MADRE DE DIOS,siniestros_total,,,148.0
2012,MOQUEGUA,siniestros_total,,,761.0
2012,PASCO,siniestros_total,,,143.0
2012,PIURA,siniestros_total,,,3300.0
2012,PUNO,siniestros_total,,,974.0
2012,SAN MARTÍN,siniestros_total,,,1057.0
2012,TACNA,siniestros_total,,,1465.0
2012,TUMBES,siniestros_total,,,505.0
2012,UCAYALI,siniestros_total,,,1208.0
2012,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,94923.0
2013,AMAZONAS,siniestros_total,,,542.0
2013,ANCASH,siniestros_total,,,2476.0
2013,APURIMAC,siniestros_total,,,525.0
2013,AREQUIPA,siniestros_total,,,6438.0
2013,AYACUCHO,siniestros_total,,,1061.0
2013,CAJAMARCA,siniestros_total,,,3156.0
2013,CUSCO,siniestros_total,,,4009.0
2013,HUANCAVELICA,siniestros_total,,,86.0
2013,HUÁNUCO,siniestros_total,,,1648.0
2013,ICA,siniestros_total,,,907.0
2013,JUNIN,siniestros_total,,,3604.0
2013,LA LIBERTAD,siniestros_total,,,4787.0
2013,LAMBAYEQUE,siniestros_total,,,3175.0
2013,LIMA,siniestros_total,,,54362.0
2013,CALLAO,siniestros_total,,,3543.0
2013,LORETO,siniestros_total,,,265.0
2013,MADRE DE DIOS,siniestros_total,,,479.0
2013,MOQUEGUA,siniestros_total,,,844.0
2013,PASCO,siniestros_total,,,90.0
2013,PIURA,siniestros_total,,,4089.0
2013,PUNO,siniestros_total,,,1154.0
2013,SAN MARTÍN,siniestros_total,,,1281.0
2013,TACNA,siniestros_total,,,1608.0
2013,TUMBES,siniestros_total,,,483.0
2013,UCAYALI,siniestros_total,,,1150.0
2013,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,101762.0
2014,AMAZONAS,siniestros_total,,,463.0
2014,ANCASH,siniestros_total,,,2477.0
2014,APURIMAC,siniestros_total,,,643.0
2014,AREQUIPA,siniestros_total,,,5630.0
2014,AYACUCHO,siniestros_total,,,1101.0
2014,CAJAMARCA,siniestros_total,,,2119.0
2014,CUSCO,siniestros_total,,,4100.0
2014,HUANCAVELICA,siniestros_total,,,201.0
2014,HUÁNUCO,siniestros_total,,,4283.0
2014,ICA,siniestros_total,,,1512.0
2014,JUNIN,siniestros_total,,,2711.0
2014,LA LIBERTAD,siniestros_total,,,4658.0
2014,LAMBAYEQUE,siniestros_total,,,3342.0
2014,LIMA,siniestros_total,,,53924.0
2014,CALLAO,siniestros_total,,,3402.0
2014,LORETO,siniestros_total,,,410.0
2014,MADRE DE DIOS,siniestros_total,,,510.0
2014,MOQUEGUA,siniestros_total,,,665.0
2014,PASCO,siniestros_total,,,50.0
2014,PIURA,siniestros_total,,,3834.0
2014,PUNO,siniestros_total,,,953.0
2014,SAN MARTÍN,siniestros_total,,,1269.0
2014,TACNA,siniestros_total,,,1349.0
2014,TUMBES,siniestros_total,,,438.0
2014,UCAYALI,siniestros_total,,,1060.0
2014,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,101104.0
2015,AMAZONAS,siniestros_total,,,381.0
2015,ANCASH,siniestros_total,,,1697.0
2015,APURIMAC,siniestros_total,,,531.0
2015,AREQUIPA,siniestros_total,,,5182.0
2015,AYACUCHO,siniestros_total,,,1416.0
2015,CAJAMARCA,siniestros_total,,,1276.0
2015,CUSCO,siniestros_total,,,4604.0
2015,HUANCAVELICA,siniestros_total,,,249.0
2015,HUÁNUCO,siniestros_total,,,2708.0
2015,ICA,siniestros_total,,,1172.0
2015,JUNIN,siniestros_total,,,2367.0
2015,LA LIBERTAD,siniestros_total,,,4853.0
2015,LAMBAYEQUE,siniestros_total,,,2340.0
