year,region,siniestros_por_causa__desacato_de_senal_de_transito,siniestros_por_causa__desacato_de_senal_de_transito_de_parte_del_conductor,siniestros_por_causa__desacato_de_senal_de_transito_de_parte_del_peaton,siniestros_por_causa__ebriedad_del_condutor,siniestros_por_causa__ebriedad_del_peaton,siniestros_por_causa__exceso_de_carga,siniestros_por_causa__exceso_de_velocidad,siniestros_por_causa__factor_ambiental,siniestros_por_causa__falla_de_luces,siniestros_por_causa__falla_mecanica,siniestros_por_causa__falta_de_luces,siniestros_por_causa__imprudencia_del_conductor,siniestros_por_causa__imprudencia_del_pasajero,siniestros_por_causa__imprudencia_del_peaton,siniestros_por_causa__invacion_de_carril,siniestros_por_causa__no_hay_certeza_de_la_causa,siniestros_por_causa__no_identifica_la_causa,siniestros_por_causa__otros,siniestros_por_causa__pista_en_mal_estado,siniestros_por_causa__senalizacion_defectuosa,siniestros_por_causa__vehiculo_mal_estacionado,siniestros_por_dia__domingo,siniestros_por_dia__jueves,siniestros_por_dia__lunes,siniestros_por_dia__martes,siniestros_por_dia__miercoles,siniestros_por_dia__sabado,siniestros_por_dia__viernes,siniestros_por_franja_horaria__00_01_a_02_00,siniestros_por_franja_horaria__02_00_a_08_00,siniestros_por_franja_horaria__02_01_a_04_00,siniestros_por_franja_horaria__04_01_a_06_00,siniestros_por_franja_horaria__06_01_a_08_00,siniestros_por_franja_horaria__08_00_a_14_00,siniestros_por_franja_horaria__08_01_a_10_00,siniestros_por_franja_horaria__10_01_a_12_00,siniestros_por_franja_horaria__12_01_a_14_00,siniestros_por_franja_horaria__14_00_a_20_00,siniestros_por_franja_horaria__14_01_a_16_00,siniestros_por_franja_horaria__16_01_a_18_00,siniestros_por_franja_horaria__18_01_a_20_00,siniestros_por_franja_horaria__20_00_a_02_00,siniestros_por_franja_horaria__20_01_a_22_00,siniestros_por_franja_horaria__22_01_a_24_00,siniestros_por_tipo__atropello,siniestros_por_tipo__atropello_y_fuga,siniestros_por_tipo__caida_de_pasajero,siniestros_por_tipo__choque,siniestros_por_tipo__choque_y_atropello,siniestros_por_tipo__choque_y_fuga,siniestros_por_tipo__colision,siniestros_por_tipo__colision_y_fuga,siniestros_por_tipo__despiste,siniestros_por_tipo__despiste_y_volcadura,siniestros_por_tipo__incendio,siniestros_por_tipo__otro,siniestros_por_tipo__volcadura,siniestros_rurales_victimas__heridos,siniestros_rurales_victimas__muertos,siniestros_total__total
2007,OCTUBRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,89.0,0.0
2007,SETIEMBRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,57.0,0.0
2007,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5466.0,859.0,0.0
2008,ABRIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,66.0,0.0
2008,AMAZONAS,0.0,0.0,0.0,24.0,0.0,18.0,45.0,0.0,5.0,32.0,0.0,70.0,0.0,8.0,0.0,0.0,0.0,16.0,15.0,38.0,0.0,16.0,30.0,55.0,55.0,46.0,37.0,32.0,0.0,34.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,69.0,0.0,0.0,59.0,11.0,3.0,61.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,100.0,9.0,0.0,0.0,271.0
2008,ANCASH,30.0,0.0,0.0,328.0,0.0,17.0,419.0,0.0,2.0,32.0,0.0,456.0,56.0,205.0,0.0,0.0,0.0,26.0,36.0,9.0,0.0,335.0,144.0,139.0,114.0,135.0,440.0,309.0,0.0,332.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,641.0,0.0,0.0,0.0,686.0,0.0,0.0,214.0,248.0,76.0,755.0,0.0,113.0,0.0,0.0,0.0,0.0,4.0,60.0,146.0,0.0,0.0,1616.0
2008,APURIMAC,0.0,0.0,0.0,82.0,0.0,0.0,148.0,0.0,0.0,12.0,0.0,96.0,0.0,74.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,33.0,46.0,122.0,39.0,79.0,30.0,79.0,0.0,32.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,45.0,0.0,0.0,232.0,13.0,6.0,137.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,428.0
2008,AREQUIPA,52.0,0.0,0.0,467.0,0.0,15.0,1355.0,0.0,8.0,91.0,0.0,2474.0,164.0,622.0,0.0,0.0,0.0,245.0,67.0,34.0,0.0,791.0,740.0,829.0,706.0,699.0,967.0,862.0,0.0,707.0,0.0,0.0,0.0,1672.0,0.0,0.0,0.0,1772.0,0.0,0.0,0.0,1142.0,0.0,0.0,1354.0,218.0,332.0,2502.0,0.0,508.0,0.0,0.0,0.0,0.0,31.0,507.0,142.0,0.0,0.0,5594.0
2008,AYACUCHO,12.0,0.0,0.0,97.0,0.0,27.0,187.0,0.0,9.0,53.0,0.0,248.0,35.0,55.0,0.0,0.0,0.0,18.0,7.0,4.0,0.0,108.0,128.0,53.0,70.0,50.0,150.0,193.0,0.0,108.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,159.0,0.0,0.0,164.0,45.0,25.0,157.0,0.0,239.0,0.0,0.0,0.0,0.0,1.0,79.0,42.0,0.0,0.0,752.0
2008,CAJAMARCA,77.0,0.0,0.0,384.0,0.0,47.0,792.0,0.0,45.0,123.0,0.0,576.0,101.0,267.0,0.0,0.0,0.0,453.0,169.0,36.0,0.0,425.0,360.0,503.0,365.0,366.0,521.0,530.0,0.0,592.0,0.0,0.0,0.0,1123.0,0.0,0.0,0.0,919.0,0.0,0.0,0.0,956.0,0.0,0.0,434.0,177.0,68.0,1017.0,0.0,662.0,0.0,0.0,0.0,0.0,2.0,505.0,205.0,0.0,0.0,3070.0
